Subject	TrialLearn	TrialTest	Condition	Correct	SRPE	RTlearn	RTrecog	RTcertain	Hit	Certainty	LearnChosenInOptions	TestChosenInOptions	TestChosenAltOption	TestChosenNoOption	Rechosen
6	7	23	4	0	-0.25	1009	12	22	1	4	1	1	0	0	0
6	10	56	4	1	0.75	2011	25	1	1	4	1	1	0	0	1
6	13	13	2	1	0.5	926	16	55	1	4	1	1	0	0	1
6	5	59	4	0	-0.25	2197	42	23	1	3	1	1	0	0	0
6	49	46	4	1	0.75	999	17	2	1	3	1	1	0	0	1
6	18	9	2	0	-0.5	1655	24	25	1	4	1	1	0	0	0
6	21	22	4	0	-0.25	854	7	56	1	4	1	1	0	0	0
6	33	30	4	0	-0.25	904	60	28	0	1	1	1	1	0	0
6	54	50	4	0	-0.25	926	37	3	1	3	1	1	0	0	0
6	20	3	4	0	-0.25	2210	27	27	1	3	1	1	0	0	0
6	6	60	1	1	0	1613	23	58	1	3	1	1	0	0	1
6	9	2	1	1	0	1285	33	30	1	2	1	1	0	0	1
6	3	34	1	1	0	1683	6	14	1	4	1	1	0	0	1
6	1	1	1	1	0	1996	5	26	1	4	1	1	0	0	1
6	56	47	2	0	-0.5	1614	14	34	1	3	1	1	0	0	0
6	57	52	4	0	-0.25	795	43	39	1	3	1	1	0	0	0
6	40	32	1	1	0	1053	58	18	0	1	1	0	0	1	0
6	34	33	2	0	-0.5	1537	20	29	1	4	1	1	0	0	0
6	24	24	1	1	0	1191	34	7	1	3	1	1	0	0	1
6	26	14	2	1	0.5	1925	44	9	1	3	1	1	0	0	1
6	52	54	2	0	-0.5	1322	54	53	0	1	1	1	1	0	1
6	47	40	1	1	0	955	9	51	1	1	1	1	0	0	1
7	24	29	4	0	-0.25	7114	4446	1036	1	2	1	1	0	0	0
7	1	5	2	1	0.5	10304	2939	1761	1	3	1	1	0	0	1
7	59	52	1	1	0	2164	3089	357	1	3	1	1	0	0	1
7	11	15	1	1	0	2268	3274	1272	1	2	1	1	0	0	1
7	35	39	4	0	-0.25	2712	2904	450	1	3	1	1	0	0	0
7	26	23	4	0	-0.25	1920	2798	817	1	3	1	1	0	0	0
7	50	41	2	0	-0.5	1365	4866	956	1	2	1	1	0	0	0
7	38	38	4	1	0.75	3111	2672	787	1	3	1	1	0	0	1
7	45	47	1	1	0	4849	6263	1500	1	3	1	1	0	0	1
7	4	6	2	0	-0.5	3429	6744	922	1	2	1	1	0	0	0
7	19	16	4	0	-0.25	2472	7382	1049	1	2	1	1	0	0	0
7	13	11	2	1	0.5	7277	4115	943	1	3	1	1	0	0	1
7	15	14	1	1	0	2393	9679	1488	0	1	1	0	0	1	0
7	48	49	2	1	0.5	2196	3809	964	1	3	1	1	0	0	1
7	54	57	1	1	0	1213	2014	241	1	3	1	1	0	0	1
